time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.17305058615e-07,5.33438905928e-08,10.0088668329,6.28277278801,6.28295623317,0.0,1.71157982236e-05,-1.75931254161e-05,0.29553123283,-0.0264613676956,-0.0128248737583,0.0,495.48887315081583,494.54537247697806,496.09900571938914,494.1526568047747
0.12000000000000001,9.1125001477e-06,-1.83224134387e-05,10.0333545294,6.28108817041,6.28288024538,0.0,0.000325729391056,-0.000791840457717,0.520649267127,-0.0315209542663,0.0152724495319,0.0,472.9628234835884,475.12157806021804,476.27844908025355,475.89123240753383
0.18,3.20546726649e-05,-0.000124671106731,10.0713298133,6.27976999448,0.000331046844066,0.0,0.000342876551987,-0.00294035370334,0.745073527725,-0.00762654671758,-0.000926197485899,0.0,475.77755537566435,474.53580184508405,474.0378488420673,475.8700988304755
0.23999999999999996,4.54688531366e-05,-0.000379799434436,10.1210042813,6.27970404401,4.36357407905e-05,0.0,0.000121881833685,-0.00559002721066,0.910624412254,0.00950933735431,-0.0139270985893,0.0,457.76925436171086,456.73376445618806,457.69686257931943,459.0584734822257
0.3,5.52222810225e-05,-0.000786974848901,10.1792832545,6.27982137902,6.28209456843,0.0,0.000304115567061,-0.00793791685845,1.03190614531,-0.0208168456588,-0.0314109230141,0.0,447.12557314636746,445.6991022531342,443.73533890768687,441.23912205578455
0.36000000000000004,0.000100652848189,-0.00133096252617,10.2423830774,6.27816210847,6.28011604291,0.0,0.00138972061097,-0.0103248264622,1.0713840647,-0.0470706064133,-0.0363032113373,0.0,417.78189507887413,417.3546590184116,420.2716152830214,417.9897717310159
0.4200000000000001,0.00026990013157,-0.00208813402036,10.313894449,6.27483245598,6.27833634683,0.0,0.00449097558297,-0.0152773851031,1.312080447,-0.0832222314579,-0.0189033589783,0.0,479.84873716745034,481.16739052945786,482.1095122722727,479.36827907577407
0.48000000000000015,0.000662072469285,-0.003230073882,10.3992781317,6.27008479525,6.27745557587,0.0,0.00869964307827,-0.0233679643134,1.53376511173,-0.0719938006373,-0.00734534659553,0.0,475.12209873911235,476.0074242754204,475.27585132798987,476.13095284896605
0.5400000000000001,0.00130772570725,-0.00492802086766,10.4949302017,6.26537958105,6.27661170993,0.0,0.0128828856498,-0.0336968996637,1.6544627584,-0.096109525711,-0.0329763245489,0.0,446.7371137080798,444.64248306209737,446.8055306891243,444.8300800723156
0.6000000000000002,0.00224383095595,-0.00739321274549,10.6000584547,6.26001968189,6.27474296702,0.0,0.018541592753,-0.0491131469179,1.84950283368,-0.0783983276283,-0.0277157493002,0.0,468.9689174295218,469.37703240958393,467.64062152045625,469.011720197015
0.6600000000000003,0.00352560918922,-0.0108056530608,10.7127893518,6.25619733549,6.27365440691,0.0,0.0243108464902,-0.0650318201039,1.90808593692,-0.0441225191318,-0.0037744330759,0.0,426.50662351299434,428.5463537393562,425.05452570067257,427.97802944418186
0.7200000000000003,0.00518150013814,-0.0152731610992,10.8302109001,6.25394036751,6.27305695312,0.0,0.0309213305521,-0.0841273739784,2.00579098035,-0.0270384333952,-0.0267056942531,0.0,440.79507909133395,438.8961689670798,439.0863276289262,440.50050554017946
0.7800000000000004,0.00729283796165,-0.021048182075,10.9575083955,6.25219025839,6.27090623498,0.0,0.0396618687018,-0.108565105933,2.23702607705,-0.0338099672187,-0.0690806292942,0.0,482.12601999788814,478.9130277466816,480.9152468518416,480.4019081966616
0.8400000000000004,0.0100177874985,-0.0283919435332,11.1005144853,6.25015750915,6.26646437331,0.0,0.0517187876979,-0.136472871857,2.52922645367,-0.0340178599096,-0.0864350783418,0.0,499.9744056894116,498.70472521720876,498.2998111266108,498.2842838287601
0.9000000000000005,0.0134722127008,-0.0372440462004,11.2544681725,6.24772207752,6.26132861912,0.0,0.0639318631224,-0.15880598887,2.60238024499,-0.0588837096355,-0.083969324252,0.0,434.5825878472689,434.7830030069658,435.73947652002266,433.6547329458631
0.9600000000000005,0.0178657349546,-0.0476549974354,11.4173978887,6.24475621822,6.25615897507,0.0,0.0831219033435,-0.188592364161,2.8280475797,-0.0352039351282,-0.0909460554367,0.0,481.77290691263056,481.23959789117976,480.6313851342791,482.4211995531763
1.0200000000000005,0.0234862676768,-0.0598474808883,11.5919922657,6.24252499525,6.25087207149,0.0,0.104815369022,-0.218048823817,2.99132074679,-0.0414805922084,-0.0829849058251,0.0,463.53469304353155,464.1537686239552,464.91084333088867,464.41820682195373
1.0800000000000005,0.0304922969547,-0.0738164881882,11.7753643185,6.2407490546,6.24587759427,0.0,0.129237895594,-0.247789734768,3.12070370414,-0.0127285094751,-0.0837587053929,0.0,455.5404735345643,455.4731278199448,453.1101657583186,455.41536557167876
1.1400000000000006,0.0391457469612,-0.0896848611798,11.9684290474,6.23966025193,6.24061446495,0.0,0.159783871326,-0.281236386584,3.31421155704,-0.0321137162834,-0.0971207965799,0.0,475.702941252287,474.672697836077,475.4177504135197,473.93014765247517
1.2000000000000006,0.0496014290748,-0.107432842064,12.1695077456,6.23785396847,6.23532373817,0.0,0.189270791002,-0.310536034502,3.38815451096,-0.0263630075714,-0.0745505227907,0.0,439.2328851330631,441.0939744306945,438.78033323774645,439.2571958477808
1.2600000000000007,0.0620032329635,-0.12704520591,12.3765909146,6.23650563957,6.23144655223,0.0,0.224540370265,-0.343346100258,3.51419942094,-0.0156479706189,-0.0498505147076,0.0,455.38661951972347,457.3550052769933,455.99912102003805,456.85427000224905
