episode,reward
1,6.24267370207
2,6.25771321523
3,5.9876307636
4,4.63503773201
5,8.23452603976
6,12.4555813228
7,16.8131993081
8,4.49296276778
9,9.07769691659
10,9.82110760984
11,10.2519773493
12,9.95658156958
13,9.26927408402
14,10.1656263082
15,8.97937524359
16,10.0432921586
17,9.93060464565
18,9.90698174706
19,10.1569718334
20,10.4288561917
21,9.93190492452
22,9.29493986232
23,9.84486568006
24,9.85235174028
25,9.86774546315
26,9.58160349946
27,9.62187782627
28,9.98881268208
29,9.14061253552
30,9.63739792385
31,10.0285223102
32,9.81182464116
33,10.0623900445
34,9.87964422775
35,9.91709838152
36,9.96872101526
37,9.48423881746
38,9.76352919782
39,9.77183750021
40,9.43859396188
41,9.99654504327
42,10.0270659762
43,9.76394149444
44,9.74389029149
45,10.1656164099
46,9.67005244164
47,10.0113971233
48,9.60893197536
49,9.75647868165
50,10.1969852028
51,10.2930897398
52,10.062695614
53,9.7410663441
54,9.74624951688
55,5.41906382134
56,21.950550912
57,25.3528266363
58,26.6437610234
59,23.6954442493
60,28.9139220399
61,26.3671430979
62,22.173332892
63,27.3580959157
64,22.529924951
65,23.8564829608
66,20.4873922804
67,4.51143151585
68,16.6045889613
69,7.42630855919
70,7.89369570291
71,7.42080320306
72,7.45654246941
73,6.17748533804
74,6.790926824
75,5.77528715161
76,5.87540995832
77,6.53889470658
78,6.71508960109
79,6.43792017216
80,6.23848517435
81,6.4282382783
82,6.30613212924
83,6.2085896805
84,6.65387518901
85,9.4648488401
86,5.89802342413
87,6.84668885082
88,6.715841897
89,6.55787242897
90,6.67405823799
91,7.34644464024
92,6.24319240466
93,6.61037787221
94,6.8198078153
95,7.11474365623
96,6.31465554556
97,5.86651642501
98,6.27812036402
99,6.2879980491
100,5.72449135718
101,7.21076806707
102,6.61797073835
103,6.44137956849
104,6.72234743608
105,7.781145379
106,4.80035381699
107,5.144768648
108,10.8661946198
109,4.38834005815
110,4.62236068371
111,5.06343173299
112,5.52421766825
113,5.10355990009
114,6.67502618911
115,6.6908062218
116,6.70513003576
117,6.70711570737
118,6.7003827792
119,6.71159615365
120,6.69249487737
121,6.6796828401
122,6.6911789191
123,6.70351649977
124,6.70953018279
125,6.68348069837
126,6.69806402492
127,6.69943610318
128,6.6896120178
129,6.70888865564
130,6.68736100233
131,6.68233369986
132,6.70691671762
133,6.70425978434
134,6.69213214141
135,6.68233408957
136,6.67800331669
137,6.69951970915
138,6.70462117536
139,6.70406685052
140,6.72959204637
141,6.69138732514
142,6.69404998028
143,6.71537691488
144,6.68995899117
145,6.6971960413
146,6.70351437005
147,6.69230983326
148,6.69126498008
149,6.69780907001
150,6.71610310512
151,6.7043836591
152,6.70006879406
153,6.69545544953
154,6.69228412391
155,6.70872044784
156,6.70924961657
157,6.68611162253
158,6.7059620297
159,6.68617866338
160,6.68882921732
161,6.67836680334
162,6.69280008345
163,6.69385887233
164,6.68996265442
165,6.69530033464
166,6.7042580541
167,6.71328689415
168,6.70761710675
169,6.71615683083
170,6.70212994551
171,6.70560339632
172,6.69343809497
173,6.70229704525
174,6.69001480271
175,6.694020808
176,6.68593128822
177,6.69686925108
178,6.69900598811
179,6.6993284095
180,6.70068734988
181,6.68654109996
182,6.69986890904
183,6.69762511057
184,6.69135546963
185,6.68499388989
186,6.70151405837
187,6.68950568405
188,6.69171802668
189,6.70556338046
190,6.68654784193
191,6.69220148521
192,6.68480572869
193,6.70108064774
194,6.69431016863
195,6.72816566003
196,6.69316377031
197,6.69885111742
198,6.72867540356
199,6.70225497043
200,6.7008784841
201,6.69526772178
202,6.71344970001
203,6.70093656854
204,6.70342411457
205,6.70113480022
206,6.70655220032
207,6.67882171255
208,6.71240851437
209,6.68776328764
210,6.70777793278
211,6.69745609977
212,6.69385024743
213,6.69294482236
214,6.7099313669
215,6.70759589625
216,6.70123948408
217,6.67836659569
218,6.68263168037
219,6.70321544958
220,6.71391869639
221,6.69900542077
222,6.66924329885
223,6.7042036629
224,6.70180801701
225,6.69413448469
226,6.69568764162
227,6.70610219638
228,6.71248625057
229,6.70928639418
230,6.68524944451
231,6.70487313056
232,6.69671863487
233,6.69393596627
234,6.70010132759
235,6.69386453031
236,6.68559192033
237,6.68919006097
238,6.71695264245
239,6.71193109827
240,6.69722897335
241,6.68678769714
242,6.68309807715
243,6.71291506084
244,6.68407488004
245,6.67671349598
246,6.6862622291
247,6.68424749875
248,6.68500154379
249,6.7053435857
250,6.69605508225
251,6.68660989458
252,6.71059885034
253,6.69582602205
254,6.69410873199
255,6.70364200854
256,6.68154936578
257,6.70040062897
258,6.69386513152
259,6.68153462426
260,6.71595819624
261,6.68830686824
262,6.69056436696
263,6.68553005956
264,6.69565793295
265,6.6914478385
266,6.69059094126
267,6.70290566231
268,6.69249883694
269,6.68921916012
270,6.68394188201
271,6.69162670427
272,6.71226146495
273,6.70239680205
274,6.68097665358
275,6.7000924843
276,6.72976439481
277,28.1203847859
278,34.3020692945
279,47.4089947688
280,31.4373942044
281,32.8036213365
282,33.6757728126
283,31.3578284013
284,38.0300109707
285,35.8951044597
286,43.3817407799
287,29.1264599894
288,30.9370748341
289,38.0794510313
290,35.9541455109
291,40.5716954023
292,33.8859618002
293,39.8468543241
294,43.8028639591
295,48.8539086986
296,46.8955310933
297,32.7176698483
298,34.5574931656
299,28.2806400229
300,35.5638019549
